ClinicalSignificance,VariantCount,Percentage
Uncertain significance,2293611,58.05
Likely benign,1066711,27.0
Benign,202926,5.14
Pathogenic,169695,4.3
Likely pathogenic,110321,2.79
Benign/Likely benign,66890,1.69
Pathogenic/Likely pathogenic,39941,1.01
Uncertain significance/Uncertain risk allele,142,0.0
drug response,131,0.0
"Pathogenic, low penetrance",92,0.0
"Likely pathogenic, low penetrance",83,0.0
VUS-high,42,0.0
Pathogenic; drug response,38,0.0
VUS-mid,31,0.0
Uncertain significance/VUS-high,23,0.0
Likely risk allele,21,0.0
Uncertain risk allele,21,0.0
association,17,0.0
other,15,0.0
Likely pathogenic/Likely risk allele,14,0.0
VUS-low,14,0.0
Benign/Likely benign; other,12,0.0
Likely benign; other,11,0.0
Likely pathogenic; drug response,11,0.0
risk factor,11,0.0
Benign; other,10,0.0
Uncertain significance/VUS-mid,9,0.0
"Pathogenic/Likely pathogenic/Pathogenic, low penetrance",8,0.0
Pathogenic/Likely risk allele,6,0.0
Uncertain significance; drug response,5,0.0
Pathogenic/Likely pathogenic/Likely risk allele,5,0.0
Pathogenic; other,5,0.0
"Pathogenic/Pathogenic, low penetrance",5,0.0
"Likely pathogenic/Pathogenic, low penetrance",5,0.0
Pathogenic/Likely pathogenic; risk factor,4,0.0
Likely benign; drug response; other,4,0.0
Pathogenic/Likely pathogenic; other,4,0.0
Uncertain significance; other,4,0.0
"Likely pathogenic/Likely pathogenic, low penetrance",4,0.0
"Pathogenic/Likely pathogenic, low penetrance",4,0.0
Uncertain significance/VUS-low,4,0.0
Benign/Likely benign; drug response; other,3,0.0
Benign; drug response,3,0.0
Benign; association,3,0.0
confers sensitivity,3,0.0
Benign/Likely benign; association,2,0.0
Benign; risk factor,2,0.0
Pathogenic/Likely pathogenic; drug response,2,0.0
Affects,2,0.0
Benign/Likely benign; drug response,2,0.0
association not found,2,0.0
Likely pathogenic; risk factor,2,0.0
"Pathogenic/Pathogenic, low penetrance; risk factor",1,0.0
Benign/Likely benign; other; risk factor,1,0.0
"Pathogenic/Likely pathogenic/Likely pathogenic, low penetrance",1,0.0
drug response; other,1,0.0
Likely pathogenic; association,1,0.0
Conflicting classifications of pathogenicity; drug response,1,0.0
"Pathogenic/Likely pathogenic/Pathogenic, low penetrance/Established risk allele; risk factor",1,0.0
"Pathogenic/Pathogenic, low penetrance; other",1,0.0
"Pathogenic/Likely pathogenic/Pathogenic, low penetrance; other",1,0.0
not provided,1,0.0
Pathogenic/Likely pathogenic; association,1,0.0
Conflicting classifications of pathogenicity,1,0.0
Pathogenic; risk factor,1,0.0
Benign/Likely benign; risk factor,1,0.0
Benign; confers sensitivity,1,0.0
protective,1,0.0
Likely benign; risk factor,1,0.0
Likely benign; association,1,0.0
Pathogenic/Likely pathogenic/Established risk allele,1,0.0
Uncertain significance; Affects,1,0.0
Uncertain significance; risk factor,1,0.0
Uncertain significance; association,1,0.0
Established risk allele,1,0.0
