GeneSymbol,GeneID,Pathogenic_Count,Benign_Count,VUS_Count,Total_Variants,Gene_Class
BRCA2,675,5593,5816,4186,15595,Multiclass
TTN,7273,5560,17278,12002,34840,Multiclass
NF1,4763,5378,4325,5804,15507,Multiclass
BRCA1,672,4117,3642,2386,10146,Multiclass
ATM,472,3783,5610,8323,17716,Multiclass
FBN1,2200,3307,2235,2673,8215,Multiclass
APC,324,2549,3734,8787,15070,Multiclass
DMD,1756,2328,3840,2692,8860,Multiclass
MSH6,2956,2234,2456,4464,9154,Multiclass
MSH2,4436,2127,2239,2298,6664,Multiclass
SCN1A,6323,2088,962,1678,4729,Multiclass
PKD1,5310,2018,880,3245,6145,Multiclass
USH2A,7399,1996,3821,2682,8499,Multiclass
LDLR,3949,1937,998,1144,4079,Multiclass
MLH1,4292,1903,1623,2139,5665,Multiclass
NEB,4703,1793,6228,2840,10861,Multiclass
PKHD1,5314,1497,2645,1516,5658,Multiclass
PALB2,79728,1449,1663,2730,5842,Multiclass
TSC2,7249,1437,4260,4418,10115,Multiclass
CFTR,1080,1431,1614,2262,5319,Multiclass
COL1A1,1277,1389,1171,793,3353,Multiclass
ABCA4,24,1384,1507,1087,3978,Multiclass
COL4A5,1287,1320,1054,520,2894,Multiclass
PTEN,5728,1306,822,1472,3600,Multiclass
GLA,2717,1114,290,424,1828,Multiclass
