Phenotype_Name,Pathogenic_Variant_Count
Hereditary cancer-predisposing syndrome,7739
Dilated cardiomyopathy 1G,3531
Autosomal recessive limb-girdle muscular dystrophy type 2J,3226
"Neurofibromatosis, type 1",3128
Inborn genetic diseases,2920
Cardiovascular phenotype,2456
Familial cancer of breast,2378
See cases,2160
Familial thoracic aortic aneurysm and aortic dissection,2081
Primary ciliary dyskinesia,2021
Marfan syndrome,2018
Joubert syndrome,1311
Hereditary breast ovarian cancer syndrome,1310
Duchenne muscular dystrophy,1281
Early-infantile DEE,1262
"Polycystic kidney disease, adult type",1226
Familial adenomatous polyposis 1,1159
"Breast-ovarian cancer, familial, susceptibility to, 1",1128
Nemaline myopathy 2,1102
"Breast-ovarian cancer, familial, susceptibility to, 2",1057
Osteogenesis imperfecta type I,1024
Meckel-Gruber syndrome,1017
Ataxia-telangiectasia syndrome,977
Fanconi anemia,952
Nephronophthisis,846
